Plant Name,Scientific Name,Image URL,Page URL
Bottlebrush,Callistemon rigidus,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154073172872790025.jpeg,https://www.picturethisai.com/wiki/Callistemon_rigidus.html
Pygmy date palm,Phoenix roebelenii,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154015465692200995.jpeg,https://www.picturethisai.com/wiki/Phoenix_roebelenii.html
Norway spruce,Picea abies,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/347088084000997376.jpeg,https://www.picturethisai.com/wiki/Picea_abies.html
Mango tree,Mangifera indica,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/317750884683579392.jpeg,https://www.picturethisai.com/wiki/Mangifera_indica.html
Confederate rose,Hibiscus mutabilis,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/157505165274906626.jpeg,https://www.picturethisai.com/wiki/Hibiscus_mutabilis.html
Lady banks's rose,Rosa banksiae,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153785259740102693.jpeg,https://www.picturethisai.com/wiki/Rosa_banksiae.html
China rose,Rosa chinensis,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/202648501331689472.jpeg,https://www.picturethisai.com/wiki/Rosa_chinensis.html
Queen of the night,Epiphyllum oxypetalum,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/202702012329230336.jpeg,https://www.picturethisai.com/wiki/Epiphyllum_oxypetalum.html
Aphrodite's phalaenopsis,Phalaenopsis aphrodite,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154100557584269343.jpeg,https://www.picturethisai.com/wiki/Phalaenopsis_aphrodite.html
Aloe vera,Aloe vera,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/242358321552261120.jpeg,https://www.picturethisai.com/wiki/Aloe_vera.html
Apple,Malus pumila,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/201218453315649536.jpeg,https://www.picturethisai.com/wiki/Malus_pumila.html
Arrowhead plant,Syngonium podophyllum,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/347090111225561088.jpeg,https://www.picturethisai.com/wiki/Syngonium_podophyllum.html
Avocado,Persea americana,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/317749875366264832.jpeg,https://www.picturethisai.com/wiki/Persea_americana.html
African marigold,Tagetes erecta,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/315097866204971008.jpeg,https://www.picturethisai.com/wiki/Tagetes_erecta.html
Arborvitae,Thuja occidentalis,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154041239790944287.jpeg,https://www.picturethisai.com/wiki/Thuja_occidentalis.html
Annual fleabane,Erigeron annuus,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154210216689270785.jpeg,https://www.picturethisai.com/wiki/Erigeron_annuus.html
African-lily,Agapanthus praecox,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153962006234267666.jpeg,https://www.picturethisai.com/wiki/Agapanthus_praecox.html
August lily,Hosta plantaginea,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/201212891333001216.jpeg,https://www.picturethisai.com/wiki/Hosta_plantaginea.html
Bigleaf hydrangea,Hydrangea macrophylla,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154128268713263129.jpeg,https://www.picturethisai.com/wiki/Hydrangea_macrophylla.html
Baby rubber plant,Peperomia obtusifolia,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/347093040393256960.jpeg,https://www.picturethisai.com/wiki/Peperomia_obtusifolia.html
Black cherry,Prunus serotina,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154083089952276500.jpeg,https://www.picturethisai.com/wiki/Prunus_serotina.html
Box elder,Acer negundo,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153410240375685143.jpeg,https://www.picturethisai.com/wiki/Acer_negundo.html
Black walnut,Juglans nigra,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/201214076743974912.jpeg,https://www.picturethisai.com/wiki/Juglans_nigra.html
Black nightshade,Solanum nigrum,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154044001454915617.jpeg,https://www.picturethisai.com/wiki/Solanum_nigrum.html
Brazilian jasmine,Mandevilla sanderi,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154000484846272543.jpeg,https://www.picturethisai.com/wiki/Mandevilla_sanderi.html
Butterfly bush,Buddleja davidii,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/347096875799052288.jpeg,https://www.picturethisai.com/wiki/Buddleja_davidii.html
Boston fern,Nephrolepis exaltata,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153807877037883398.jpeg,https://www.picturethisai.com/wiki/Nephrolepis_exaltata.html
Black-eyed susan,Rudbeckia hirta,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/348132903515226112.jpeg,https://www.picturethisai.com/wiki/Rudbeckia_hirta.html
Cape jasmine,Gardenia jasminoides,,https://www.picturethisai.com/wiki/Gardenia_jasminoides.html
Corn plant,Dracaena fragrans,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154131794881413123.jpeg,https://www.picturethisai.com/wiki/Dracaena_fragrans.html
China rose,Rosa chinensis,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/202648501331689472.jpeg,https://www.picturethisai.com/wiki/Rosa_chinensis.html
Common sunflower,Helianthus annuus,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153840158012080172.jpeg,https://www.picturethisai.com/wiki/Helianthus_annuus.html
Cucumber,Cucumis sativus,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/317732991849824256.jpeg,https://www.picturethisai.com/wiki/Cucumis_sativus.html
Common coleus,Coleus scutellarioides,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/152432134588465153.jpeg,https://www.picturethisai.com/wiki/Coleus_scutellarioides.html
Crepe myrtle,Lagerstroemia indica,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/201214506240704512.jpeg,https://www.picturethisai.com/wiki/Lagerstroemia_indica.html
Chinese hibiscus,Hibiscus rosa-sinensis,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154120121160302616.jpeg,https://www.picturethisai.com/wiki/Hibiscus_rosa-sinensis.html
Common lilac,Syringa vulgaris,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153449182844157981.jpeg,https://www.picturethisai.com/wiki/Syringa_vulgaris.html
Common yarrow,Achillea millefolium,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154244786881036288.jpeg,https://www.picturethisai.com/wiki/Achillea_millefolium.html
Dieffenbachia,Dieffenbachia seguine,,https://www.picturethisai.com/wiki/Dieffenbachia_seguine.html
Dwarf umbrella tree,Schefflera arboricola,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153444759027843082.jpeg,https://www.picturethisai.com/wiki/Schefflera_arboricola.html
Ditch lily,Hemerocallis fulva,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/393494492670328832.jpeg,https://www.picturethisai.com/wiki/Hemerocallis_fulva.html
Desert rose,Adenium obesum,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/153778641195499523.jpeg,https://www.picturethisai.com/wiki/Adenium_obesum.html
Dog rose,Rosa canina,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/202648157734305792.jpeg,https://www.picturethisai.com/wiki/Rosa_canina.html
Durian,Durio zibethinus,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/224655510032842752.jpeg,https://www.picturethisai.com/wiki/Durio_zibethinus.html
Dragon fruit,Hylocereus undatus,https://www.picturethisai.com/image-handle/website_cmsname/image/1080/154138757023399974.jpeg,https://www.picturethisai.com/wiki/Hylocereus_undatus.html
